Año,Mes,Isla,Número de Turistas
2023,enero,Mallorca,425049
2023,febrero,Mallorca,457444
2023,marzo,Mallorca,716450
2023,abril,Mallorca,1364111
2023,mayo,Mallorca,1620943
2023,junio,Mallorca,1735303
2023,julio,Mallorca,2009570
2023,agosto,Mallorca,1934989
2023,septiembre,Mallorca,1719978
2023,octubre,Mallorca,1444275
2023,noviembre,Mallorca,486054
2023,diciembre,Mallorca,524645
2023,enero,Menorca,41833
2023,febrero,Menorca,43620
2023,marzo,Menorca,63663
2023,abril,Menorca,120064
2023,mayo,Menorca,179852
2023,junio,Menorca,266896
2023,julio,Menorca,336029
2023,agosto,Menorca,326431
2023,septiembre,Menorca,244475
2023,octubre,Menorca,139.014
2023,noviembre,Menorca,43.444
2023,diciembre,Menorca,47.408
2023,enero,Ibiza,99881
2023,febrero,Ibiza,96305
2023,marzo,Ibiza,153306
2023,abril,Ibiza,345646
2023,mayo,Ibiza,468101
2023,junio,Ibiza,575849
2023,julio,Ibiza,689148
2023,agosto,Ibiza,671146
2023,septiembre,Ibiza,565129
2023,octubre,Ibiza,373576
2023,noviembre,Ibiza,108632
2023,diciembre,Ibiza,115921
2022,enero,Mallorca,268341
2022,febrero,Mallorca,366285
2022,marzo,Mallorca,574805
2022,abril,Mallorca,1181203
2022,mayo,Mallorca,1474470
2022,junio,Mallorca,1691553
2022,julio,Mallorca,1883236
2022,agosto,Mallorca,1814353
2022,septiembre,Mallorca,1610919
2022,octubre,Mallorca,1324312
2022,noviembre,Mallorca,436498
2022,diciembre,Mallorca,471298
2022,enero,Menorca,29.095
2022,febrero,Menorca,32.129
2022,marzo,Menorca,51.432
2022,abril,Menorca,115.675
2022,mayo,Menorca,177.659
2022,junio,Menorca,259.799
2022,julio,Menorca,332.032
2022,agosto,Menorca,321.705
2022,septiembre,Menorca,233.143
2022,octubre,Menorca,141.105
2022,noviembre,Menorca,46.138
2022,diciembre,Menorca,47.664
2022,enero,Ibiza,71505
2022,febrero,Ibiza,82858
2022,marzo,Ibiza,123234
2022,abril,Ibiza,286545
2022,mayo,Ibiza,413413
2022,junio,Ibiza,549235
2022,julio,Ibiza,643832
2022,agosto,Ibiza,626078
2022,septiembre,Ibiza,518083
2022,octubre,Ibiza,331120
2022,noviembre,Ibiza,103601
2022,diciembre,Ibiza,109470
2021,enero,Mallorca,78449
2021,febrero,Mallorca,69782
2021,marzo,Mallorca,156276
2021,abril,Mallorca,206363
2021,mayo,Mallorca,453516
2021,junio,Mallorca,708585
2021,julio,Mallorca,1181203
2021,agosto,Mallorca,1211714
2021,septiembre,Mallorca,1.060.097
2021,octubre,Mallorca,1.017.915
2021,noviembre,Mallorca,361.501
2021,diciembre,Mallorca,378.540
2021,enero,Menorca,10.702
2021,febrero,Menorca,11.306
2021,marzo,Menorca,19.775
2021,abril,Menorca,23.386
2021,mayo,Menorca,50.599
2021,junio,Menorca,133.767
2021,julio,Menorca,248.310
2021,agosto,Menorca,273.941
2021,septiembre,Menorca,175.079
2021,octubre,Menorca,106.813
2021,noviembre,Menorca,36.226
2021,diciembre,Menorca,41.384
2021,enero,Ibiza,23731
2021,febrero,Ibiza,17935
2021,marzo,Ibiza,34890
2021,abril,Ibiza,52936
2021,mayo,Ibiza,137720
2021,junio,Ibiza,267890
2021,julio,Ibiza,463264
2021,agosto,Ibiza,480475
2021,septiembre,Ibiza,397134
2021,octubre,Ibiza,287882
2021,noviembre,Ibiza,90085
2021,diciembre,Ibiza,92466
2020,enero,Mallorca,403475
2020,febrero,Mallorca,468216
2020,marzo,Mallorca,239622
2020,abril,Mallorca,4191
2020,mayo,Mallorca,11109
2020,junio,Mallorca,71868
2020,julio,Mallorca,601845
2020,agosto,Mallorca,543774
2020,septiembre,Mallorca,235857
2020,octubre,Mallorca,192683
2020,noviembre,Mallorca,93689
2020,diciembre,Mallorca,121508
2020,enero,Menorca,37.961
2020,febrero,Menorca,43.716
2020,marzo,Menorca,21.890
2020,abril,Menorca,923
2020,mayo,Menorca,2.204
2020,junio,Menorca,13.816
2020,julio,Menorca,117.782
2020,agosto,Menorca,151.344
2020,septiembre,Menorca,74.250
2020,octubre,Menorca,31.460
2020,noviembre,Menorca,14.448
2020,diciembre,Menorca,20.057
2020,enero,Ibiza,91.889
2020,febrero,Ibiza,97.393
2020,marzo,Ibiza,51.301
2020,abril,Ibiza,1.563
2020,mayo,Ibiza,4.067
2020,junio,Ibiza,28.224
2020,julio,Ibiza,232.408
2020,agosto,Ibiza,266.952
2020,septiembre,Ibiza,124.736
2020,octubre,Ibiza,70.639
2020,noviembre,Ibiza,31.969
2020,diciembre,Ibiza,40.923
